person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Copeland / James E. Jr.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Duberstein / Kenneth M.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Harkin / Ruth R.	ConocoPhillips			f-W		1	Corporation	non-financial	energy	6
Lance / Ryan M.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
McGraw / Harold III	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Mulva / James J.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Niblock / Robert A.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Norvik / Harald	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Reilly / William K.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Shackouls / Bobby S.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Tschinkel / Victoria J.	ConocoPhillips			f-W		1	Corporation	non-financial	energy	6
Turner / Kathryn C.	ConocoPhillips			f-B		1	Corporation	non-financial	energy	6
Wade / William E. Jr.	ConocoPhillips			m-W		1	Corporation	non-financial	energy	6
Amelio / Gilbert F.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Anderson / Reuben V.	AT&T			m-B		1	Corporation	non-financial	media/communications	7
Blanchard / James H.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Chico Pardo / Jaime	AT&T			m-L		1	Corporation	non-financial	media/communications	7
Kelly / James P.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Madonna / Jon C.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Martin / Lynn Morley	AT&T			f-W		1	Corporation	non-financial	media/communications	7
McCoy / John B.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Roche / Joyce M.	AT&T			f-B		1	Corporation	non-financial	media/communications	7
Rose / Matthew K.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Stephenson / Randall L.	AT&T			m-W		1	Corporation	non-financial	media/communications	7
Tyson / Laura D.	AT&T			f-W		1	Corporation	non-financial	media/communications	7
Upton / Patricia P.	AT&T			f-W		1	Corporation	non-financial	media/communications	7
Butler / Stephen G.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Casiano / Kimberly A.	Ford Motor			f-L		1	Corporation	non-financial	industrial	8
Earley / Anthony F. Jr.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Ford / Edsel B.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Ford / William Clay Jr.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Gephardt / Richard A.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Hance / James H. Jr.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Hesterberg / Earl J.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Hockaday / Irvine O. Jr.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Manoogian / Richard A.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Marram / Ellen R.	Ford Motor			f-W		1	Corporation	non-financial	industrial	8
Mulally / Alan R.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Neal / Homer A.	Ford Motor			m-B		1	Corporation	non-financial	industrial	8
Shaheen / Gerald L.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Thornton / John L.	Ford Motor			m-W		1	Corporation	non-financial	industrial	8
Bowles / Crandall C.	J.P. Morgan Chase & Co.			f-W		1	Corporation	financial	bank	9
Burke / Stephen B.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Cote / David M.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Crown / James S.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Dimon / Jamie	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Futter / Ellen V.	J.P. Morgan Chase & Co.			f-W		1	Corporation	financial	bank	9
Gray / William H. III	J.P. Morgan Chase & Co.			m-B		1	Corporation	financial	bank	9
Jackson / Laban P. Jr.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Novak / David C.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Raymond / Lee R.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Weldon / William C.	J.P. Morgan Chase & Co.			m-W		1	Corporation	financial	bank	9
Andreessen / Marc L.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Apotheker / Leo	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Babbio / Lawrence T. Jr.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Baldauf / Sari M.	Hewlett-Packard			f-W		1	Corporation	non-financial	technology	10
Gupta / Rajiv L.	Hewlett-Packard			m-A		1	Corporation	non-financial	technology	10
Hammergren / John H.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Hyatt / Joel Z.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Joyce / John R.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Lane / Raymond J.	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Ryan / Robert L.	Hewlett-Packard			m-B		1	Corporation	non-financial	technology	10
Salhany / Lucille S.	Hewlett-Packard			f-W		1	Corporation	non-financial	technology	10
Thompson / G. Kennedy	Hewlett-Packard			m-W		1	Corporation	non-financial	technology	10
Whitman / Meg	Hewlett-Packard			f-W	285	1	Corporation	non-financial	technology	10
Buffett / Howard G.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Buffett / Warren E.	Berkshire Hathaway			m-W	2	1	Corporation	non-financial	holding	11
Burke / Stephen B.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Decker / Susan L.	Berkshire Hathaway			f-W		1	Corporation	non-financial	holding	11
Gates / William H. III	Berkshire Hathaway			m-W	1	1	Corporation	non-financial	holding	11
Gottesman / David S.	Berkshire Hathaway			m-W	285	1	Corporation	non-financial	holding	11
Guyman / Charlotte	Berkshire Hathaway			f-W		1	Corporation	non-financial	holding	11
Keough / Donald R.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Munger / Charles T.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Murphy / Thomas S.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Olson / Ronald L.	Berkshire Hathaway			m-W		1	Corporation	non-financial	holding	11
Scott / Walter Jr.	Berkshire Hathaway			m-W	229	1	Corporation	non-financial	holding	11
Belda / Alain J. P.	Citigroup			m-L		1	Corporation	financial	bank	12
Collins / Timothy C.	Citigroup			m-W		1	Corporation	financial	bank	12
Grundhofer / Jerry A.	Citigroup			m-W		1	Corporation	financial	bank	12
Joss / Robert L.	Citigroup			m-W		1	Corporation	financial	bank	12
Liveris / Andrew N.	Citigroup			m-W		1	Corporation	financial	bank	12
O'Neill / Michael E.	Citigroup			m-W		1	Corporation	financial	bank	12
Pandit / Vikram S.	Citigroup			m-A		1	Corporation	financial	bank	12
Parsons / Richard D.	Citigroup			m-B		1	Corporation	financial	bank	12
Ricciardi / Lawrence R.	Citigroup			m-W		1	Corporation	financial	bank	12
Rodin / Judith	Citigroup			f-W		1	Corporation	financial	bank	12
Ryan / Robert L.	Citigroup			m-B		1	Corporation	financial	bank	12
Santomero / Anthony M.	Citigroup			m-W		1	Corporation	financial	bank	12
Taylor / Diana L.	Citigroup			f-W		1	Corporation	financial	bank	12
Thompson / William S. Jr.	Citigroup			m-W		1	Corporation	financial	bank	12
Zedillo / Ernesto	Citigroup			m-L		1	Corporation	financial	bank	12
Carrion / Richard L.	Verizon Communications			m-L		1	Corporation	non-financial	media/communications	13
Keeth / M. Frances	Verizon Communications			f-W		1	Corporation	non-financial	media/communications	13
Lane / Robert W.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
McAdam / Lowell C.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Moose / Sandra O.	Verizon Communications			f-W		1	Corporation	non-financial	media/communications	13
Neubauer / Joseph	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Nicolaisen / Donald T.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
O'Brien / Thomas H.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Otis / Clarence Jr.	Verizon Communications			m-B		1	Corporation	non-financial	media/communications	13
Price / Hugh B.	Verizon Communications			m-B		1	Corporation	non-financial	media/communications	13
Seidenberg / Ivan G.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Slater / Rodney E.	Verizon Communications			m-B		1	Corporation	non-financial	media/communications	13
Snow / John W.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Stafford / John R.	Verizon Communications			m-W		1	Corporation	non-financial	media/communications	13
Bryant / Andy D.	McKesson			m-W		1	Corporation	non-financial	pharmaceutical	14
Budd / Wayne A.	McKesson			m-B		1	Corporation	non-financial	pharmaceutical	14
Hammergren / John H.	McKesson			m-W		1	Corporation	non-financial	pharmaceutical	14
Irby / Alton F. III	McKesson			m-W		1	Corporation	non-financial	pharmaceutical	14
Jacobs / M. Christine	McKesson			f-W		1	Corporation	non-financial	pharmaceutical	14
Knowles / Marie L.	McKesson			f-W		1	Corporation	non-financial	pharmaceutical	14
Lawrence / David M.	McKesson			m-W		1	Corporation	non-financial	pharmaceutical	14
Mueller / Edward A.	McKesson			m-W		1	Corporation	non-financial	pharmaceutical	14
Shaw / Jane E.	McKesson			f-W		1	Corporation	non-financial	pharmaceutical	14
Akerson / Daniel F.	General Motors			m-W		1	Corporation	non-financial	industrial	15
Bonderman / David	General Motors			m-W	170	1	Corporation	non-financial	industrial	15
Davis / Erroll B. Jr.	General Motors			m-B		1	Corporation	non-financial	industrial	15
Girsky / Stephen J.	General Motors			m-W		1	Corporation	non-financial	industrial	15
Isdell / E. Neville	General Motors			m-W		1	Corporation	non-financial	industrial	15
Krebs / Robert D.	General Motors			m-W		1	Corporation	non-financial	industrial	15
Laskaway / Philip A.	General Motors			m-W		1	Corporation	non-financial	industrial	15
Marinello / Kathryn V.	General Motors			f-W		1	Corporation	non-financial	industrial	15
Russo / Patricia F.	General Motors			f-W		1	Corporation	non-financial	industrial	15
Stephenson / Carol M.	General Motors			f-W		1	Corporation	non-financial	industrial	15
Telles / Cynthia A.	General Motors			f-L		1	Corporation	non-financial	industrial	15
Whitacre / Edward E. Jr.	General Motors			m-W		1	Corporation	non-financial	industrial	15
Benmosche / Robert H.	American International Group			m-W		1	Corporation	financial	insurance	16
Johnson / Suzanne Nora	American International Group			f-W		1	Corporation	financial	insurance	16
Koellner / Laurette T.	American International Group			f-W		1	Corporation	financial	insurance	16
Layton / Donald H.	American International Group			m-W		1	Corporation	financial	insurance	16
Lynch / Christopher S.	American International Group			m-W		1	Corporation	financial	insurance	16
Martinez / Arthur C.	American International Group			m-W		1	Corporation	financial	insurance	16
Miles / George L. Jr.	American International Group			m-B		1	Corporation	financial	insurance	16
Miller / Henry S.	American International Group			m-W		1	Corporation	financial	insurance	16
Miller / Robert S.	American International Group			m-W		1	Corporation	financial	insurance	16
Offit / Morris W.	American International Group			m-W		1	Corporation	financial	insurance	16
Rittenmeyer / Ronald A.	American International Group			m-W		1	Corporation	financial	insurance	16
Steenland / Douglas M.	American International Group			m-W		1	Corporation	financial	insurance	16
Arnold / Colleen F.	Cardinal Health			f-W		1	Corporation	non-financial	healthcare	17
Barrett / George S.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Britt / Glenn A.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Cox / Carrie S.	Cardinal Health			f-W		1	Corporation	non-financial	healthcare	17
Darden / Calvin	Cardinal Health			m-B		1	Corporation	non-financial	healthcare	17
Downey / Bruce L.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Finn / John F.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Kenny / Gregory B.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Mongan / James J.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Notebaert / Richard C.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Raisbeck / David W.	Cardinal Health			m-W		1	Corporation	non-financial	healthcare	17
Spaulding / Jean G.	Cardinal Health			f-B		1	Corporation	non-financial	healthcare	17
Banks / Edwin M.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Brown / C. David II	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Dorman / David W.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Heard / Marian L.	CVS Caremark			f-B		1	Corporation	non-financial	healthcare	18
Joyce / William H.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Merlo / Larry J.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Millon / Jean-Pierre	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Murray / Terrence	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Piccolo / C. A. Lance	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Rosenberg / Sheli Z.	CVS Caremark			f-W		1	Corporation	non-financial	healthcare	18
Ryan / Thomas M.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Swift / Richard J.	CVS Caremark			m-W		1	Corporation	non-financial	healthcare	18
Williams / Kristen Gibney	CVS Caremark			f-W		1	Corporation	non-financial	healthcare	18
Baker / John D. II	Wells Fargo			m-W		1	Corporation	financial	bank	19
Chen / John S.	Wells Fargo			m-A		1	Corporation	financial	bank	19
Dean / Lloyd H.	Wells Fargo			m-B		1	Corporation	financial	bank	19
Engel / Susan E.	Wells Fargo			f-W		1	Corporation	financial	bank	19
Hernandez / Enrique Jr.	Wells Fargo			m-L		1	Corporation	financial	bank	19
James / Donald M.	Wells Fargo			m-W		1	Corporation	financial	bank	19
McCormick / Richard D.	Wells Fargo			m-W		1	Corporation	financial	bank	19
McDonald / Mackey J.	Wells Fargo			m-W		1	Corporation	financial	bank	19
Milligan / Cynthia H.	Wells Fargo			f-W		1	Corporation	financial	bank	19
Moore / Nicholas G.	Wells Fargo			m-W		1	Corporation	financial	bank	19
Quigley / Philip J.	Wells Fargo			m-W		1	Corporation	financial	bank	19
Runstad / Judith M.	Wells Fargo			f-W		1	Corporation	financial	bank	19
Sanger / Stephen W.	Wells Fargo			m-W		1	Corporation	financial	bank	19
Stumpf / John G.	Wells Fargo			m-W		1	Corporation	financial	bank	19
Swenson / Susan	Wells Fargo			f-W		1	Corporation	financial	bank	19
Belda / Alain J. P.	IBM			m-L		1	Corporation	non-financial	technology	20
Black / Cathleen P.	IBM			f-W		1	Corporation	non-financial	technology	20
Brody / William R.	IBM			m-W		1	Corporation	non-financial	technology	20
Chenault / Kenneth I.	IBM			m-B		1	Corporation	non-financial	technology	20
Eskew / Michael L.	IBM			m-W		1	Corporation	non-financial	technology	20
Jackson / Shirley Ann	IBM			f-B		1	Corporation	non-financial	technology	20
Liveris / Andrew N.	IBM			m-W		1	Corporation	non-financial	technology	20
McNerney / W. James Jr.	IBM			m-W		1	Corporation	non-financial	technology	20
Owens / James W.	IBM			m-W		1	Corporation	non-financial	technology	20
Palmisano / Samuel J.	IBM			m-W		1	Corporation	non-financial	technology	20
Rometty / Virginia M.	IBM			f-W		1	Corporation	non-financial	technology	20
Spero / Joan E.	IBM			f-W		1	Corporation	non-financial	technology	20
Taurel / Sidney	IBM			m-W		1	Corporation	non-financial	technology	20
Zambrano / Lorenzo H.	IBM			m-L		1	Corporation	non-financial	technology	20
