person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Reynolds / W. Ann	Humana			f-W		1	Corporation	financial	insurance	73
Bethune / Gordon M.	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Burke / Kevin	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Chico Pardo / Jaime	Honeywell International			m-L		1	Corporation	non-financial	industrial	74
Cote / David M.	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Davis / D. Scott	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Deily / Linnet F.	Honeywell International			f-W		1	Corporation	non-financial	industrial	74
Hollick / Clive R.	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Paz / George	Honeywell International			m-L		1	Corporation	non-financial	industrial	74
Sheares / Bradley T.	Honeywell International			m-B		1	Corporation	non-financial	industrial	74
Wright / Michael W.	Honeywell International			m-W		1	Corporation	non-financial	industrial	74
Alpern / Robert J.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Austin / Roxanne S.	Abbott Laboratories			f-L		1	Corporation	non-financial	industrial	75
Daley / William M.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Farrell / W. James	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Fuller / H. Laurance	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Liddy / Edward M.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Novakovic / Phebe N.	Abbott Laboratories			f-W		1	Corporation	non-financial	industrial	75
Osborn / William A.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Owen / David	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Roberts / Roy S.	Abbott Laboratories			m-B		1	Corporation	non-financial	industrial	75
Scott / Samuel C. III	Abbott Laboratories			m-B		1	Corporation	non-financial	industrial	75
Smithburg / William D.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Tilton / Glenn F.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
White / Miles D.	Abbott Laboratories			m-W		1	Corporation	non-financial	industrial	75
Aznar / Jose Maria	News Corp.			m-L		1	Corporation	non-financial	media/communications	76
Bancroft / Natalie	News Corp.			f-W		1	Corporation	non-financial	media/communications	76
Barnes / Peter	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Carey / Chase	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Cowley / Ken	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Devoe / David F.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Dinh / Viet D.	News Corp.			m-A		1	Corporation	non-financial	media/communications	76
Eddington / Roderick I.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Knight / Andrew	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Murdoch / James R.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Murdoch / K. Rupert	News Corp.			m-W	36	1	Corporation	non-financial	media/communications	76
Murdock / Lachlan K.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Perkins / Thomas J.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Shuman / Stanley S.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Siskind / Arthur M.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Thornton / John L.	News Corp.			m-W		1	Corporation	non-financial	media/communications	76
Birosak / Chirstopher J.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Bracken / Richard M.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Connaughton / John	HCA			m-W		1	Corporation	non-financial	healthcare	77
Forbes / James	HCA			m-W		1	Corporation	non-financial	healthcare	77
Freeman / Kenneth W.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Frist / Thomas F. III	HCA			m-W		1	Corporation	non-financial	healthcare	77
Frist / Thomas Jr.	HCA			m-W	92	1	Corporation	non-financial	healthcare	77
Frist / William R.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Gordon / Christopher R.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Holliday / Charles O. Jr.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Johnson / R. Milton	HCA			m-W		1	Corporation	non-financial	healthcare	77
Kravis / Henry R.	HCA			m-W	92	1	Corporation	non-financial	healthcare	77
Michelson / Michael W.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Momtazee / James C.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Pagliuca / Stephen G.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Thorne / Nathan C.	HCA			m-W		1	Corporation	non-financial	healthcare	77
Casciato / Chris	Sunoco			m-W		1	Corporation	non-financial	energy	78
Edwards / Gary W.	Sunoco			m-W		1	Corporation	non-financial	energy	78
Elsenhans / Lynn Laverty	Sunoco			f-W		1	Corporation	non-financial	energy	78
Fairbairn / Ursula O.	Sunoco			f-W		1	Corporation	non-financial	energy	78
Greco / Rosemarie B.	Sunoco			f-W		1	Corporation	non-financial	energy	78
Jones / John Paul III	Sunoco			m-W		1	Corporation	non-financial	energy	78
Kaiser / James G.	Sunoco			m-B		1	Corporation	non-financial	energy	78
Rowe / John W.	Sunoco			m-W		1	Corporation	non-financial	energy	78
Wulff / John K.	Sunoco			m-W		1	Corporation	non-financial	energy	78
Bodman / Samuel W.	Hess			m-W		1	Corporation	non-financial	energy	79
Brady / Nicholas F.	Hess			m-W		1	Corporation	non-financial	energy	79
Hess / John B.	Hess			m-W		1	Corporation	non-financial	energy	79
Hill / Gregory P.	Hess			m-W		1	Corporation	non-financial	energy	79
Holiday / Edith E.	Hess			f-W		1	Corporation	non-financial	energy	79
Kean / Thomas H.	Hess			m-W		1	Corporation	non-financial	energy	79
Lavizzo-Mourey / Risa J.	Hess			f-B		1	Corporation	non-financial	energy	79
Matthews / Craig G.	Hess			m-W		1	Corporation	non-financial	energy	79
Mullien / John H. III	Hess			m-W		1	Corporation	non-financial	energy	79
Olson / Frank A.	Hess			m-W		1	Corporation	non-financial	energy	79
von Metzsch / Ernst H.	Hess			m-W		1	Corporation	non-financial	energy	79
Walker / F. Borden	Hess			m-W		1	Corporation	non-financial	energy	79
Wilson / Robert N.	Hess			m-W		1	Corporation	non-financial	energy	79
Atkins / Howard I.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Heisz / Leslie	Ingram Micro			f-W		1	Corporation	non-financial	technology	80
Ingram / John R.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Ingram / Martha	Ingram Micro			f-W	151	1	Corporation	non-financial	technology	80
Ingram / Orrin H. II	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Laurance / Dale R.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Levinson / Linda Fayne	Ingram Micro			f-W		1	Corporation	non-financial	technology	80
McGregor / Scott A.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Smith / Michael T.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Spierkel / Gregory M. E.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Wyatt / Joe B.	Ingram Micro			m-W		1	Corporation	non-financial	technology	80
Beresford / Dennis R.	Fannie Mae			m-W		1	Corporation	financial	bank	81
Forrester / William T.	Fannie Mae			m-W		1	Corporation	financial	bank	81
Gaines / Brenda J.	Fannie Mae			f-B		1	Corporation	financial	bank	81
Goins / Charlynn	Fannie Mae			f-B		1	Corporation	financial	bank	81
Harvey / Frederick Barton	Fannie Mae			m-W		1	Corporation	financial	bank	81
Korologos / Ann McLaughlin	Fannie Mae			f-W		1	Corporation	financial	bank	81
Laskaway / Philip A.	Fannie Mae			m-W		1	Corporation	financial	bank	81
Perry / Egbert L. J.	Fannie Mae			m-B		1	Corporation	financial	bank	81
Plutzik / Jonathan	Fannie Mae			m-W		1	Corporation	financial	bank	81
Sidwell / David H.	Fannie Mae			m-W		1	Corporation	financial	bank	81
Williams / Michael J.	Fannie Mae			m-W		1	Corporation	financial	bank	81
Barksdale / James L.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Barr / William P.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Bewkes / Jeffrey L.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Bollenbach / Stephen F.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Case / Steve	Time Warner			m-W	285	1	Corporation	non-financial	media/communications	82
Caufield / Frank J.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Clark / Robert C.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Dopfner / Mathias	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Einhorn / Jessica P.	Time Warner			f-W		1	Corporation	non-financial	media/communications	82
Hassan / Fred	Time Warner			m-A		1	Corporation	non-financial	media/communications	82
Novack / Kenneth J.	Time Warner			m-W		1	Corporation	non-financial	media/communications	82
Wright / Deborah C.	Time Warner			f-B		1	Corporation	non-financial	media/communications	82
Abney / David P.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Archer / Dennis W.	Johnson Controls			m-B		1	Corporation	non-financial	industrial	83
Barnett / Robert L.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Black / Natalie A.	Johnson Controls			f-W		1	Corporation	non-financial	industrial	83
Cornog / Robert A.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Goodman / Richard	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Joerres / Jeffrey A.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Lacy / William H.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Morcott / Southwood J.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Reyes-Retana / Eugenio	Johnson Controls			m-L		1	Corporation	non-financial	industrial	83
Roell / Stephen A.	Johnson Controls			m-W		1	Corporation	non-financial	industrial	83
Anderson / Richard H.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Bastian / Edward H.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Bostock / Roy J.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Brinzo / John S.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Carp / Daniel A.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Engler / John M.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Foret / Mickey P.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Goode / David R.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Reynolds / Paula Rosput	Delta Air Lines			f-W		1	Corporation	non-financial	transportation	84
Slater / Rodney E.	Delta Air Lines			m-B		1	Corporation	non-financial	transportation	84
Steenland / Douglas M.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Woodrow / Kenneth B.	Delta Air Lines			m-W		1	Corporation	non-financial	transportation	84
Bertolini / Robert J.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Brun / Leslie A.	Merck			m-B		1	Corporation	non-financial	pharmaceutical	85
Cech / Thomas R.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Clark / Richard T.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Glocer / Thomas H.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Goldstone / Steven F.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Harrison / William B. Jr.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Jacobson / Harry R.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Kelley / Willam N.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Kidder / C. Robert	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Lazarus / Rochelle B.	Merck			f-W		1	Corporation	non-financial	pharmaceutical	85
Represas / Carlos E.	Merck			m-L		1	Corporation	non-financial	pharmaceutical	85
Russo / Patricia F.	Merck			f-W		1	Corporation	non-financial	pharmaceutical	85
Shenk / Thomas E.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Tatlock / Anne M.	Merck			f-W		1	Corporation	non-financial	pharmaceutical	85
Thompson / Craig B.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Weeks / Wendell P.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Wendell / Peter C.	Merck			m-W		1	Corporation	non-financial	pharmaceutical	85
Bodman / Samuel W.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Bowler / Mary E.	DuPont			f-W		1	Corporation	non-financial	industrial	86
Brown / Richard H.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Brown / Robert A.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Collomb / Bertrand P.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Crawford / Curtis J.	DuPont			m-B		1	Corporation	non-financial	industrial	86
Cutler / Alexander M.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Dillon / John T.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Du Pont / Eleuthere I.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Hewson / Marillyn A.	DuPont			f-W		1	Corporation	non-financial	industrial	86
Holliday / Charles O. Jr.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Juliber / Lois D.	DuPont			f-W		1	Corporation	non-financial	industrial	86
Kullman / Ellen J.	DuPont			f-W		1	Corporation	non-financial	industrial	86
Reilly / William K.	DuPont			m-W		1	Corporation	non-financial	industrial	86
Hackley / Lloyd V.	Tyson Foods			m-B		1	Corporation	non-financial	food/agriculture	87
Kever / Jim D.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Mcnamara / Kevin M.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Sauer / Brad T.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Thurber / Robert C.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Tyson / Barbara	Tyson Foods			f-W		1	Corporation	non-financial	food/agriculture	87
Tyson / Donald J.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Tyson / John H.	Tyson Foods			m-W		1	Corporation	non-financial	food/agriculture	87
Zapanta / Albert C.	Tyson Foods			m-L		1	Corporation	non-financial	food/agriculture	87
Akerson / Daniel F.	American Express			m-W		1	Corporation	financial	bank	88
Barshefsky / Charlene	American Express			f-W		1	Corporation	financial	bank	88
Burns / Ursula M.	American Express			f-B		1	Corporation	financial	bank	88
Chenault / Kenneth I.	American Express			m-B		1	Corporation	financial	bank	88
Chernin / Peter	American Express			m-W		1	Corporation	financial	bank	88
Leonsis / Theodore	American Express			m-W		1	Corporation	financial	bank	88
Leschly / Jan	American Express			m-W		1	Corporation	financial	bank	88
Levin / Richard C.	American Express			m-W		1	Corporation	financial	bank	88
Mcginn / Richard A.	American Express			m-W		1	Corporation	financial	bank	88
Miller / Edward D.	American Express			m-W		1	Corporation	financial	bank	88
Reinemund / Steven S.	American Express			m-W		1	Corporation	financial	bank	88
Walter / Robert D.	American Express			m-W		1	Corporation	financial	bank	88
Williams / Ronald A.	American Express			m-B		1	Corporation	financial	bank	88
Anderson / Joseph B. Jr.	Rite Aid			m-B		1	Corporation	non-financial	retail	89
Belzile / Andre	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Coutu / Francois J.	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Coutu / Michel	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Donald / James	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Jessick / David	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Miller / Robert Gerald	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Regan / Michael N.	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Sammons / Mary F.	Rite Aid			f-W		1	Corporation	non-financial	retail	89
Satre / Philip G.	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Sokoloff / Jonathan D.	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Standley / John T.	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Syms / Marcy	Rite Aid			f-W		1	Corporation	non-financial	retail	89
Wood / Dennis	Rite Aid			m-W		1	Corporation	non-financial	retail	89
Berkley / Forrest	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Broad / Molly C.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Brown / Jeffrey Robert	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Clark / Robert C.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Cowen / Scott S.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Eckl / Nancy A.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Ferguson / Roger W. Jr.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Flood / Eugene Jr.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Forrester / Michael A.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Hess / Lisa W.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Hundert / Edward M.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Jackson / Howell E.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Jacob / Nancy L.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Killingsworth / Cleve L. Jr.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Linden / Lawrence H.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Macaskill / Bridget A.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
McPherson / Michael S.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
O'Hara / Maureen	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Peterson / Donald K.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Poterba / James M.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Ribeau / Sidney A.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Robinson / Dorothy K.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Shedlarz / David L.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Sloan / Maceo K.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Starks / Laura T.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Swensen / David F.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Thier / Samuel O.	TIAA-CREF			m-W		1	Corporation	financial	insurance	90
Thompson / Ronald L.	TIAA-CREF			m-B		1	Corporation	financial	insurance	90
Tienda / Marta	TIAA-CREF			f-L		1	Corporation	financial	insurance	90
Townsend / Alair A.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Wolf / Rosalie J.	TIAA-CREF			f-W		1	Corporation	financial	insurance	90
Anderson / Bruce	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Anthony / Donald	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Bass / Robert	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Bielenberg / David	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Blew / Clinton	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Carlson / Dennis	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Eischens / Curt	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Fritel / Steven	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Hasnedl / Jerry	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Kayser / David	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Knecht / Randy	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Kruger / Greg	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Mulcahey / Michael	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Owen / Richard	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Riegel / Steve	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Schurr / Daniel	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Toelle / Michael	CHS			m-W		1	Corporation	non-financial	food/agriculture	91
Andras / O. S.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Andress / Thurmon M.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Bachmann / Richard H.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Creel / Michael A.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Cunningham / Ralph S.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Duncan / Dan L.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Fowler / W. Randall	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
McMahen / Charles E.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Smith / Edwin E.	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Teague / A. James	Enterprise GP Holdings			m-W		1	Corporation	non-financial	energy	92
Williams / Randa Duncan	Enterprise GP Holdings			f-W	72	1	Corporation	non-financial	energy	92
Barry / Thomas Corcoran	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Corbet / Kathleen A.	Massachusetts Mutual Life Insurance			f-W		1	Corporation	financial	insurance	93
Crandall / Roger W.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
DeGraffenreidt / James H. Jr.	Massachusetts Mutual Life Insurance			m-B		1	Corporation	financial	insurance	93
Dennis / Patricia Diaz	Massachusetts Mutual Life Insurance			f-L		1	Corporation	financial	insurance	93
Ellis / William B.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Essner / Robert A.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Furek / Robert M.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
LeBoeuf / Raymond W.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Minehan / Cathy Elizabeth	Massachusetts Mutual Life Insurance			f-W		1	Corporation	financial	insurance	93
Racicot / Marc F.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Reese / Stuart H.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Spitz / William T.	Massachusetts Mutual Life Insurance			m-W		1	Corporation	financial	insurance	93
Brown / Harold	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Cabiallavetta / Mathis	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Camilleri / Louis C.	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Fishburn / J. Dudley	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Li / Jennifer	Philip Morris International			f-A		1	Corporation	non-financial	food/agriculture	94
Mackay / Graham	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Marchionne / Sergio	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Noto / Lucio A.	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Slim / Carlos	Philip Morris International			m-L		1	Corporation	non-financial	food/agriculture	94
Wolf / Stephen M.	Philip Morris International			m-W		1	Corporation	non-financial	food/agriculture	94
Clark / Vern	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Deutch / John M.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Hadley / Stephen J.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Poses / Frederic M.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Ruettgers / Michael C.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Skates / Ronald L.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Spivey / William	Raytheon			m-B		1	Corporation	non-financial	industrial	95
Stuntz / Linda G.	Raytheon			f-W		1	Corporation	non-financial	industrial	95
Swanson / William H.	Raytheon			m-W		1	Corporation	non-financial	industrial	95
Benanav / Gary G.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Borelli / Frank J.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Breen / Maura C.	Express Scripts			f-W		1	Corporation	non-financial	healthcare	96
Lahowchic / Nicholas	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Mac Mahon / Thomas P.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Mergenthaler / Frank	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Myers / Woodrow A. Jr.	Express Scripts			m-B		1	Corporation	non-financial	healthcare	96
Parker / John O.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Paz / George	Express Scripts			m-L		1	Corporation	non-financial	healthcare	96
Skinner / Samuel K.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Sternberg / Seymour	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Toan / Barrett A.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Waltman / Howard L.	Express Scripts			m-W		1	Corporation	non-financial	healthcare	96
Allardice / Robert B.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Fetter / Trevor	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Kirk / Paul G. Jr.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
McGee / Liam E.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Mikells / Katheryn	Hartford Financial Services			f-W		1	Corporation	financial	insurance	97
Morris / Michael G.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Renyi / Thomas A.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Strauss / Charles B.	Hartford Financial Services			m-W		1	Corporation	financial	insurance	97
Swygert / H. Patrick	Hartford Financial Services			m-B		1	Corporation	financial	insurance	97
Beller / Alan L.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Dasburg / John H.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Dolan / Janet M.	Travelers Cos.			f-W		1	Corporation	financial	insurance	98
Duberstein / Kenneth M.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Fishman / Jay S.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Graev / Lawrence G.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Higgins / Patricia L.	Travelers Cos.			f-W		1	Corporation	financial	insurance	98
Hodgson / Thomas R.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Killingsworth / Cleve L. Jr.	Travelers Cos.			m-B		1	Corporation	financial	insurance	98
McGarvie / Blythe J.	Travelers Cos.			f-W		1	Corporation	financial	insurance	98
Shepard / Donald J.	Travelers Cos.			m-W		1	Corporation	financial	insurance	98
Thomsen / Laurie J.	Travelers Cos.			f-W		1	Corporation	financial	insurance	98
Barnett / Carol	Publix Super Markets			f-W		1	Corporation	non-financial	retail	99
Barnett / Hoyt R.	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Crenshaw / William E.	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Finley / Jane B.	Publix Super Markets			f-W		1	Corporation	non-financial	retail	99
Hudson / Sherrill W.	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Jenkins / Charles H. Jr.	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Jenkins / Howard M.	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Mcclurg / E. Vane	Publix Super Markets			m-W		1	Corporation	non-financial	retail	99
Sastre / Maria A.	Publix Super Markets			f-L		1	Corporation	non-financial	retail	99
Alberg / Tom A.	Amazon.com			m-W		1	Corporation	non-financial	technology	100
Bezos / Jeffrey P.	Amazon.com			m-W	11	1	Corporation	non-financial	technology	100
Brown / John Seely	Amazon.com			m-W		1	Corporation	non-financial	technology	100
Gordon / William B.	Amazon.com			m-W		1	Corporation	non-financial	technology	100
Monié / Alain	Amazon.com			m-W		1	Corporation	non-financial	technology	100
Ryder / Thomas O.	Amazon.com			m-W		1	Corporation	non-financial	technology	100
Stonesifer / Patricia Q.	Amazon.com			f-W		1	Corporation	non-financial	technology	100
